TAS,TAS05,TAS07,TAS09,TAS11,TAS13,TAS15,TAS17,ER30001,ER30002,ER33801,ER33802,ER33803,TA050001,TA050042,TA050043,TA050127,TA050371,TA050394,TA050595,TA050631,TA050678,TA050712,TA050715,TA050716,TA050769,TA050777,TA050785,TA050793,TA050798,TA050809,TA050817,TA050825,ER33901,ER33902,ER33903,TA070001,TA070042,TA070043,TA070127,TA070344,TA070368,TA070570,TA070602,TA070649,TA070683,TA070686,TA070687,TA070740,TA070748,TA070756,TA070764,TA070769,TA070777,TA070785,TA070793,ER34001,ER34002,ER34003,TA090001,TA090043,TA090044,TA090136,TA090361,TA090385,TA090612,TA090655,TA090705,TA090739,TA090742,TA090743,TA090799,TA090807,TA090815,TA090823,TA090828,TA090836,TA090844,TA090852,ER34101,ER34102,ER34103,TA110001,TA110044,TA110045,TA110137,TA110351,TA110462,TA110699,TA110743,TA110793,TA110829,TA110832,TA110833,TA110915,TA110923,TA110931,TA110939,TA110944,TA110952,TA110960,TA110968,ER34201,ER34202,ER34203,TA130001,TA130043,TA130044,TA130136,TA130350,TA130482,TA130719,TA130763,TA130813,TA130852,TA130855,TA130856,TA130861,TA130948,TA130956,TA130961,TA130964,TA130969,TA130972,TA130977,TA130982,TA130985,TA130990,TA130993,TA130998,TA131001,ER34301,ER34302,ER34303,TA150001,TA150043,TA150044,TA150128,TA150352,TA150491,TA150731,TA150776,TA150826,TA150869,TA150872,TA150873,TA150970,TA150978,TA150986,TA150994,TA150999,TA151007,TA151015,TA151023,ER34501,ER34502,ER34503,TA170001,TA170058,TA170059,TA170183,TA170389,TA170416,TA170790,TA170866,TA170909,TA170912,TA170913,TA171295,TA171827,TA171835,TA171840,TA171853,TA171861,TA171869,TA171877,TA171885
4,,,,1,1,1,1,10,35,523,4,30,,,,,,,,,,,,,,,,,,,,,6742,4,30,,,,,,,,,,,,,,,,,,,,,3276,4,30,,,,,,,,,,,,,,,,,,,,,8551,3,30,2,1,96,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7473,3,30,2,2,96,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5033,4,40,2,1,96,3,5,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1744,1,10,2,2,2,3,1,5,5,0,0,0,0,5,0,0,0,0,0,0,0,0
4,1,1,1,1,,,,14,30,736,51,30,5,2,2,2,5,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,3621,3,30,4,1,1,1,1,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,5994,3,30,3,1,96,3,1,0,5,0,0,0,0,0,15,0,0,0,0,0,0,0,1685,3,30,2,1,1,3,1,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,6491,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,4735,1,10,,,,,,,,,,,,,,,,,,,,,2521,1,10,,,,,,,,,,,,,,,,,,,,
5,,1,1,1,1,1,,14,31,736,3,30,,,,,,,,,,,,,,,,,,,,,4149,2,22,4,2,1,1,5,99,0,5,3,0,0,0,2,0,0,0,0,0,0,0,713,1,10,3,1,96,1,5,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,1780,1,10,2,2,96,6,5,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,1284,1,10,2,2,96,5,5,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7731,1,10,2,2,96,1,5,0,5,0,0,0,0,0,998,0,0,0,0,0,0,0,1669,2,22,,,,,,,,,,,,,,,,,,,,
4,,,,1,1,1,1,14,32,677,3,30,,,,,,,,,,,,,,,,,,,,,2668,3,30,,,,,,,,,,,,,,,,,,,,,126,3,30,,,,,,,,,,,,,,,,,,,,,964,51,30,2,3,3,1,5,0,1,0,0,0,0,0,15,0,0,0,0,0,0,0,1865,52,30,2,3,2,1,5,0,5,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,2839,52,30,2,2,96,7,1,0,5,0,0,0,0,0,20,0,0,0,0,0,0,0,2400,1,10,2,6,6,3,5,0,3,0,0,0,0,5,4,0,0,0,0,6,0,0
3,,,,,1,1,1,14,33,677,4,30,,,,,,,,,,,,,,,,,,,,,2668,4,30,,,,,,,,,,,,,,,,,,,,,126,4,30,,,,,,,,,,,,,,,,,,,,,964,3,30,,,,,,,,,,,,,,,,,,,,,1865,51,30,2,3,3,7,5,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2839,51,30,2,3,2,7,5,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1723,1,10,2,2,96,1,1,5,3,0,0,0,0,5,2,0,0,0,0,0,0,0
1,,,,,,,1,16,34,1063,3,30,,,,,,,,,,,,,,,,,,,,,3618,3,30,,,,,,,,,,,,,,,,,,,,,8053,3,30,,,,,,,,,,,,,,,,,,,,,8403,3,30,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,6761,3,30,,,,,,,,,,,,,,,,,,,,,9035,3,30,2,9,9,7,5,0,1,0,5,5,5,5,0,0,0,0,0,0,0,0
1,,,,,,,1,16,174,1063,4,71,,,,,,,,,,,,,,,,,,,,,7254,3,30,,,,,,,,,,,,,,,,,,,,,6161,71,30,,,,,,,,,,,,,,,,,,,,,4483,1,10,,,,,,,,,,,,,,,,,,,,,8959,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,8487,1,10,,,,,,,,,,,,,,,,,,,,,6436,1,10,2,97,96,3,1,5,5,0,0,0,0,1,180,0,0,0,0,0,0,0
2,1,1,,,,,,18,38,5647,3,98,5,1,1,3,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1047,1,10,4,1,2,1,5,99,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7651,2,20,,,,,,,,,,,,,,,,,,,,,2272,2,20,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1099,2,20,,,,,,,,,,,,,,,,,,,,,7631,2,20,,,,,,,,,,,,,,,,,,,,
3,,,,,1,1,1,18,39,1321,3,30,,,,,,,,,,,,,,,,,,,,,940,3,30,,,,,,,,,,,,,,,,,,,,,3582,3,30,,,,,,,,,,,,,,,,,,,,,395,2,30,,,,,,,,,,,,,,,,,,,,,5977,2,30,2,1,96,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,879,2,30,2,3,96,3,1,0,1,8,0,0,0,0,1,0,0,0,0,0,0,0,4401,2,30,2,2,1,1,1,1,3,0,0,0,0,5,1,0,0,0,0,0,0,0
2,,,,,,1,1,18,40,1321,4,30,,,,,,,,,,,,,,,,,,,,,940,4,30,,,,,,,,,,,,,,,,,,,,,3582,4,30,,,,,,,,,,,,,,,,,,,,,395,3,30,,,,,,,,,,,,,,,,,,,,,5977,3,30,,,,,,,,,,,,,,,,,,,,,,,,,,,879,3,30,2,2,96,1,5,0,5,0,0,0,0,0,15,0,0,0,0,0,0,0,4401,3,30,2,1,96,1,5,0,5,0,0,0,0,1,20,0,0,0,0,0,0,0
